,username,user_id,description,url_count,protected,followers_count,friends_count,user_created_at,user_favourites_count,utc_offset,geo_enabled,veified,user_statuses_count,contributors_enabled,translation_enabled,user_follows_me,user_is_friend
1669,fbayon,21561034,CTO #healthcaretech #AI #fintech #bigdata #iot #startupmindset #cto #developer #agile #aws #python #datacentric #DeepAImed #Medsbla. Opinions are on my own,NA,False,347,486,2009,131,NA,False,False,1871,False,False,0,1
1670,markrlabbe,422369854,"AI news writer @TechTarget. Violinist, pianist, gamer. Former reporter @TheBostonPilot and @PSLifeStyle.",NA,False,182,296,2011,232,NA,True,False,64,False,False,0,1
1671,KenViciana,2334530239,Data & Analytics Executive Consultant: helping companies leverage and harness the power of Actionable Data to enable business outcomes! #VicianaData 📈,1,False,1562,2684,2014,2681,NA,True,False,2300,False,False,0,1
1672,LnTTechservices,819186177639088128,"We are a global leader in #Engineering and R&D (ER&D) services.

Know more about the ER&D Hackathon: https://t.co/Z9rhXZHT8c #ForTheNextBillion",1,False,3130,2361,2017,291,NA,False,False,7684,False,False,0,1
1673,catsocialintel,412344227,Purpose-led / Social Entrepreneur. What the future needs most w/ creativity + social analytics + #AI. Founder @re_imagineers. Data & Transformation @LBGDigi,1,False,2150,4993,2011,1658,NA,False,False,1742,False,False,0,1
1674,iamjaivinder,1816391731,Data Science Enthusiast | Machine Learning | R | Visualization,NA,False,32,307,2013,227,NA,False,False,56,False,False,1,1
1675,ki_daily,1011933441657581569,We are driven by a fervor for everything that code can bring to life. #Pfeffer4Evver,NA,False,147,1033,2018,1046,NA,False,False,1109,False,False,0,1
1676,gregorwills,894252752494358537,"@Allianz SE #Spokesperson for #Digital Topics. Fan of #technology, #business, #learning, #AI, #automation, #science, #space, #scifi & the #future! Views my own.",NA,False,520,909,2017,1319,NA,True,False,491,False,False,0,1
1677,MaKalisiak,66315835,"Human being full of passion. Interested in #technology, #ai, #art, #cultures and #customs. Mother & whife. IBM social media strategist. Views are my own.",NA,False,113,177,2009,592,NA,True,False,184,False,False,0,1
1678,CMWInternation,1010353280306692097,Product Technology Search Specialist - Passionate about all things Geeky - -Loves Avocados 🥑https://t.co/FcaXK2FboY,1,False,53,874,2018,30,NA,True,False,81,False,False,0,1
1679,bananabros_llc,979797786383151104,"Introducing OTTO™, the world’s first and only automatic Smart Milling Machine. We make it easy to take it easy. 🍌",1,False,90,251,2018,36,NA,False,False,72,False,False,0,1
1680,CodeBeard,21902920,"Beard technologist, data, AI and empathy person. Tweets my own. Writing https://t.co/seH0QkZWpC pre-order now! 🙌🏻 Make data empower everyone 🙌🏻",1,False,1207,1022,2009,5323,NA,True,False,29843,False,False,0,1
1681,GlobalLearnDay,869995423720722432,"Join a #global movement to celebrate the history of #learning, #universal access to #education, #edtech, #innovation, #teachers, and lifelong learning.",1,False,981,1051,2017,5501,NA,False,False,4548,False,False,0,1
1682,SherrillWHayes,2234584291,"Prof @KSUConflict, Dir #PhD @KSUDataScience, Co-Ed https://t.co/xZt2MIJH4Q; Family Conflict & Refugee Resettlement; Opinions are mine; RT ≠ Endorsement",1,False,478,1167,2013,1817,NA,True,False,2029,False,False,0,1
1683,appacademyio,588716514,12-week immersive software engineering course. No experience required. Intensive full-time. Only pay us if you get a job.,1,False,6272,1629,2012,183,NA,True,False,1149,False,False,0,1
1684,thospfuller,23990594,"If you need a #fractionalcto or #interimcto then you need to be speaking w. me.

#DC / #Chicago / #Remote

#ProductDevelopment / #CTO / #ChiefTechnicalOfficer",1,False,172,823,2009,8032,NA,False,False,743,False,False,0,1
1685,JsonBurke,925479924252729344,Full Stack Software engineer and SRE. #Writing and #Blockchain in my spare time. #Python #C #Bash #Javascript #NodeJS tinkerer @holbertonschool,1,False,261,537,2017,873,NA,True,False,246,False,False,0,1
1686,CoviamCEO,32675462,CEO Coviam Technologies,1,False,151,241,2009,489,NA,True,False,809,False,False,0,1
1687,rzembo,15867081,Physics by education & at heart. Enterprise Architecture at work. Photography after hours. #AI #MachineLearning #BigData #DataScience #FinTech #QuantumComputing,NA,False,4004,4721,2008,4527,NA,True,False,24043,False,False,1,1
1688,NelsonSwitzer,47940370,#Sustainability & Business #Leader | #Growth | #Purpose | #Engagement | #CPG | #Finance | #ResourceDevelopment | #Abundance | #Environment | #Water | #Plastic,NA,False,27917,10741,2009,1359,NA,True,False,5105,False,False,0,1
1689,DirectionInfo,15945173,La source d'informations et échanges en technologies de l'information et des communications (TIC) interentreprises au Québec depuis 1988 https://t.co/pwxIMLHU2K,1,False,3251,1204,2008,35,NA,False,False,9081,False,False,0,1
1690,RyanMatonis,961363421353558016,I'm a Tech Entrepreneur and founder of Lead-Engines - a #B2B #LeadGeneration Service for #Startups and #SmallBusinessOwners. https://t.co/JVeTfyEuki,1,False,1654,5001,2018,23569,NA,False,False,14278,False,False,0,1
1691,Chameleon_Tech,61261022,Chameleon Technologies is a technical staffing and professional services firm that expertly matches qualified candidates to open positions.,1,False,378,454,2009,93,NA,True,False,2140,False,False,0,1
1692,orl_London,20947135,Research in machine learning and statistical pattern recognition.,1,False,195,2003,2009,1314,NA,False,False,1254,False,False,0,1
1693,rajibstats,806201386740416514,M.Sc. in Statistics | Data Scientist ( #Analytics I #ML I #R I Python I #AzureML I #PowerBI I  #Cloud Computing ) | Contact: +91 9775610821 | Skype: rajibstats,1,False,220,767,2016,37,NA,False,False,242,False,False,1,1
1694,XOEyeTech,1908904716,"XOi Technologies is the creator of Vision™, a cloud-based software for intelligent communications that lets service companies put their best tech on every site.",1,False,523,351,2013,451,NA,True,False,532,False,False,0,1
1695,SimoneKnaap,282134662,"Associate Brand Director, Consumer Goods Technology at EnsembleIQ",1,False,1692,3480,2011,1570,NA,False,False,17534,False,False,1,1
1696,vykanton,971622257675067393,"Conservation biologist and data scientist | Nature, artificial intelligence and citizen science | Co-founder of https://t.co/zsOT3JD482",NA,False,92,169,2018,294,NA,False,False,74,False,False,0,1
1697,useAIble,2650600171,Disruptive technology company that has reimagined #NeuralNetworks.  We make #AI different. #DataScience #DeepLearning #MachineLearning,1,False,879,1331,2014,1120,NA,False,False,1173,False,False,0,1
1698,johnwhalen,14231482,"Partner, Psychological Insights & Innovation, Brilliant @brlexp, Research, Strategy, Design Thinking, AI/ML ... PhD ... always learning",1,False,3120,2764,2008,971,NA,False,False,3895,False,False,0,1
1699,dwnicoll,15576364,"Here, we are all just metaphor, other beings, their science, rationales, creativity & technology, Collaboration and authenticity, post competitive, post growth",1,False,378,1188,2008,780,NA,False,False,2876,False,False,0,1
1700,KenHerron,19904067,#CMO of #ConversationalAI company #UIB (https://t.co/FE7o9j8SVi) | Device whisperer | I make human to machine communications simple 💬🗣 | #Voice #IoT #AI 🇸🇬🇳🇿🇮🇳🇦🇪🇩🇪,1,False,126594,41139,2009,95652,NA,True,False,28448,False,False,1,1
1701,SurenderGedar,2191843723,Engineer,NA,False,35,547,2013,525,NA,False,False,89,False,False,0,1
1702,Big_Data_io,972961140731981825,"Typical methods yield typical results, I lead delivery by providing uncommon results #DataScience #BigData #DigitalTransformations",1,False,77,544,2018,57,NA,False,False,39,False,False,0,1
1703,ch3ckmat3,15262682,Full-time IT Systems Architect – part-time Philosopher. Data Science enthusiast. #Cloud #API #DataScience #DataViz #ML #AI #IoT #CryptoCurrency #Blockchain,1,False,1453,3192,2008,8079,NA,True,False,7362,False,False,1,1
1704,CarePredict,1689267607,The future of senior healthcare. A.I. driven activity monitoring and risk alerts for caregivers and communities. #healthtech #ai #wearable #ehealth #seniorcare,1,False,2236,1317,2013,2025,NA,False,False,1424,False,False,0,1
1705,wdrfree,3138250546,"Best Free Web Design Resources -

A jQuery Plugin & Code Script by hour",1,False,889,4981,2015,709,NA,False,False,5321,False,False,0,1
1706,c_di_nella,2749093685,"Tech Strategist & Advisor. Passionate about #AI, #DLT, #Digital, & #Platforms applied to Financial Services. A curious mind & a wandering spirit. Views my own.",1,False,290,815,2014,278,NA,False,False,625,False,False,0,1
1707,PiliosGroup,876098820781858816,"#Engineering🤖 #Distribution🌐#Investment💻

👉 IG: @PiliosGroup 

👉 IG: @PiliosGames

👉 FREE #NINPLAY APP: https://t.co/Kxm9vmd2iI",1,False,741,4935,2017,4820,NA,False,False,8142,False,False,0,1
1708,ITADtechJoshen,985908090842374144,IT asset disposition and Data Destruction #ITAD #data #security #cybersecurity #HardDrive #Destruction,1,False,180,1021,2018,228,NA,True,False,190,False,False,0,1
1709,ichakrab,28156224,"Futuristic engineer. Data aficionado. Advocate for social good. Applying machine learning, big data and cloud technologies for social transformation.",NA,False,109,196,2009,90,NA,False,False,189,False,False,0,1
1710,annebonnerdata,3288129510,"Secretly believes everyone everywhere should get into tech. Wants to help with that. 

Reach out any time to see how I can help you with your content and brand!",1,False,1440,1291,2015,8598,NA,False,False,3982,False,False,1,1
1711,Siddhesh007,762594496425046016,"Programmer, Introvert & Intellectual  Maverick.",1,False,455,1640,2016,758,NA,True,False,91,False,False,0,1
1712,NchaupeSs,713631472805093377,"Am a Geek at heart, digital marketer, software developer and entrepreneur  | Scorpio ♏ 
Code drives me crazy at times but I love it and poet. I am a Hacker",1,False,786,1677,2016,7665,NA,True,False,5142,False,False,0,1
1713,Mobius_Inc,15835085,"We #transform #businesses with #data. Our #technology suite of automation methodologies, reliable bots, #AI & #NLP competencies enable modular data #solutions.",1,False,1218,1361,2008,452,NA,True,False,2044,False,False,0,1
1714,OTFCoder,981608963572604928,Entrepreneur | IT Service Provider | Laravel Expert | Passionate Coder | Innovator | Developer | Programmer | WordPress Expert | Web Developer | App Developer,1,False,1361,2621,2018,1906,NA,True,False,2173,False,False,1,1
1715,_Spruha,910009765958369280,"Data Scientist, Aptus Data Labs",NA,False,84,285,2017,976,NA,True,False,185,False,False,0,1
1716,dcolliver,14968359,"Helping B2B tech sales and marketing executives grow their Return on Investment (ROI)

https://t.co/VJyOQq3cBO 

#datastorage #ai #machinelearning #bigdata",1,False,455,1156,2008,863,NA,True,False,944,False,False,0,1
1717,HiveUSX,370100001,"#HiveIO #HiveFabric is an industry-leading Utility Fabric software for #SDDC, #VDI, #DaaS, #VSI & #SDN. #AI #ML #HIPAA #CommodityHardware 
Ready!",1,False,3636,615,2011,175,NA,True,False,3630,False,False,0,1
1718,ArnaldoPrez1,1425938958,"Computer Scientist & #Book Author, currently working for a #German #IT company in #Belgrade. #AI #MachineLearning fan 😉 Co-Founder of Cuba Mania Tour.",1,False,321,759,2013,68,NA,False,False,135,False,False,0,1
1719,data_gawd,51141350,Believe no data,NA,False,38,136,2009,166,NA,True,False,299,False,False,0,1
1720,iamrws,868637460,"Data Science | Machine Learning | Georgia Institute of Technology | Views mine.  [He, His]",1,False,94219,94601,2012,8318,NA,True,False,125,False,False,1,1
1721,SASAsiaPacific,301265201,"News, info & best practices on analytics software for Advanced Analytics, Business Intelligence, Artificial Intelligence (AI), Risk, Marketing and IT.",1,False,1297,1911,2011,837,NA,False,False,3052,False,False,0,1
1722,davederington,14189482,Teacher | Scientist | Gamer | Director of User Enablement @azuqua | #iPaaS #automation #DigitalTransformation #CustomerEducation #CustomerSuccess,1,False,1593,4755,2008,1881,NA,True,False,490,False,False,0,1
1723,randalaise,15760416,"Co-Founder @1E9tech. Digital strategist, humanist, songwriter, scout. Likes to play around with things. Eager to learn new stuff. Averse to authoritarianism.",1,False,209,1720,2008,990,NA,False,False,100,False,False,0,1
1724,Gina_Roos,475292622,"Writer specializing in the electronics supply & design chain, and all things IoT. Opinions expressed are my own.",NA,False,621,639,2012,31,NA,False,False,998,False,False,0,1
1725,dezye1693,2867697950,COO of @bacehq || Cofounder of @digigrassroots || Mobile App dev ||  Fintech-AI-Africa || TechBlogger || alumni @mestafrica & @yalidakar || Youth IGF2017 ||,NA,False,1002,764,2014,2385,NA,True,False,4073,False,False,0,1
1726,angebagui,105670512,Kotlin Developer. I share my knowledge in french on youtube video tutorial and my blog.,1,False,826,1373,2010,232,NA,True,False,554,False,False,0,1
1727,QuiniWine,774685951,Quini is the leader in real-time #wine tasting sensory and behaviour data and technology solutions.,1,False,1445,2354,2012,1030,NA,True,False,6225,False,False,0,1
1728,ian_thomas,14140727,"Data geek, madtech veteran. Chief Data Officer, Publicis Spine. Opinions my own.",1,False,830,485,2008,2872,NA,False,False,899,False,False,0,1
1729,gunjan_amit,18393495,Analytics and Artificial Intelligence Advisor #Innovation #CustomerAnalytics #AI #CognitiveAnalytics #WomenInAI #WomeninSTEM #DataScience,NA,False,4148,4847,2008,111,NA,False,False,1167,False,False,0,1
1730,RGMiles,59512889,"CFO specializing in Strategy, Planning, Performance Management, Business Intelligence and Analytics.",1,False,314,669,2009,36,NA,False,False,248,False,False,0,1
1731,AuroraB2B,974612964799123456,⭐️ #DemandGeneration Specialists ⭐️ enabling businesses to find the most relevant leads & opportunities through the use of #IntentData & #AI.,1,False,124,332,2018,26,NA,False,False,25,False,False,0,1
1732,KellyOB,14323922,"My passionate mission is to help people over 50 compete and stay relevant with social media and marketing tech. It is not too late! Speaker, Consultant, Writer",NA,False,647,1689,2008,3991,NA,True,False,1241,False,False,0,1
1733,imobannon,30792449,"Managing editor and writer at largest tech-focused publication for accounting pros, and consultant to tech companies reaching those professions.",1,False,1946,722,2009,66,NA,False,False,21753,False,False,0,1
1734,csatir,19538535,"Author, Speaker & Host of the AI & Analytics ON AIR podcast. Product leader & industry expert.",1,False,577,551,2009,334,NA,True,False,1694,False,False,0,1
1735,PodsProgram,992420980374016001,"PODS is a @mcgillu summer program designed to train a new generation of data-driven policy analysts.
Presented by @cscds_mcgill & @MaxBellSchool",1,False,352,1460,2018,819,NA,True,False,206,False,False,0,1
1736,NLPLogix,937340059,"NLP Logix is an artificial intelligence and machine learning solutions company, which has grown from a vision to one of the fastest growing deep learning teams!",1,False,603,617,2012,612,NA,True,False,1279,False,False,0,1
1737,veritoneinc,3300861942,Veritone unlocks the power of AI-based cognitive computing so that unstructured audio and video data can be transformed into actionable intelligence.,1,False,3547,2528,2015,745,NA,False,False,1959,False,False,0,1
1738,HealthITAdvice,928239984,#EMR #EHR and #HealthIT insights for healthcare professionals from @SoftwareAdvice. Medical market research by @GDMLisa,1,False,1701,1356,2012,418,NA,True,False,2647,False,False,0,1
1739,GloriaVazquez_,904824112907943937,"Estudio #Matemáticas
➡️Post cada jueves
#DataScience #ML #NLP #Poesía
📹#YouTube en breve: https://t.co/YgZkMnNqUS
🏃https://t.co/cEaPHTmbWV 📩gloriavazquezcontacto@gmail.com",1,False,768,336,2017,2892,NA,True,False,2811,False,False,0,1
1740,didur_kostya,869926666381996032,"Marketing @N_iX

#DigitalTransformation #Fintech #banking #AI #MachineLearning #distributedledger #blockchain",1,False,289,453,2017,1116,NA,False,False,1024,False,False,0,1
1741,wholebetter,3284737513,"#AI, #ML,#Machine #Learning, #Artifical,#Inteligence , #IOT, #Blockchain, #Neurochain The evolutionary mutation of Blockchain.#NCC,#Neurochain",1,False,527,1437,2015,2740,NA,False,False,1217,False,False,0,1
1742,ehiatt1,35212729,30+ Years in the Tech arena. Growing my AI experience Big Data knowledge. Learning to be a better investor.  Love my Disney too.,NA,False,171,972,2009,3911,NA,False,False,758,False,False,0,1
1743,laukiie,273967948,"Formerly UdSSR | in Euorpe at home | Space/Science enthusiast| in #AI since 1936. Tweets about Tech, Economy, F.P and Society. Occasionally sarcastic. DE/ENG",NA,False,308,4937,2011,11254,NA,False,False,2283,False,False,0,1
1744,newstechni_more,143506624,Scientific Advances Tips of Computer Technology Programming and Other Related 🖥️💻📱,NA,False,943,3268,2010,920,NA,False,False,268016,False,False,0,1
1745,DeusExMachinaAI,974577251059666944,"Deus ex Machina is the 1st AI company in Greece, providing machine-learning powered solutions",1,False,175,255,2018,204,NA,False,False,1063,False,False,0,1
1746,MegaRadGames,2928096736,"Tech Enthusiast 👨‍💻, Programmer 💡, Novice Deep Learner 🧠, Gamer 🎲",NA,False,47,131,2014,70,NA,False,False,55,False,False,0,1
1747,Myndshft,4226056214,Our solutions are designed to automate and simplify the time-wasting administrative tasks that distract providers and payers from focusing on patient care.,1,False,398,331,2015,111,NA,False,False,2172,False,False,0,1
1748,MASWorkflow,599693948,SharePoint and Process Automation Experts enabling companies large and small to leverage their technology investment with smarter design. Need us? Tweet us!,1,False,423,628,2012,1037,NA,False,False,889,False,False,0,1
1749,ali_raza_khaan,866015407412576256,A Proud Pakistani 🇵🇰🇵🇰 ❤️| Machine Learning Engineer 👨‍💻 | Web Developer | Software Engineer👨‍💻 | Django | Python,NA,False,60,234,2017,174,NA,False,False,86,False,False,0,1
1750,monaparizadeh,1173918715,"PhD candidate @ KembelLab @UQAM @AAFC_Canada, Having fun w/ #bioinformatics co-org. @monbug_ & #microbialEcology Seminar Series #scotchLover #dayDreamer",NA,False,294,1045,2013,2395,NA,True,False,640,False,False,0,1
1751,FINTECH_Bridge,949386856185188353,"Bringing together #fintech entrepreneurs, investors, tech giants, financial services from #China & #UK for business partnerships #fintechbridge #fintechChinaUK",1,False,569,704,2018,1248,NA,False,False,1208,False,False,0,1
